,# Identifier,Cytoplasmic effector,Apoplastic effector,Non-effector,Prediction,Orthogroup
20212,mpi|P21|400283|Fgenesh_Torrubiella_hemipterigena|contig_4_gene_283,-,Y (0.642),-,Apoplastic effector,OG0000037
22025,mpi|P22|2200343|Fgenesh_Torrubiella_hemipterigena|contig_22_gene_343,-,Y (0.603),-,Apoplastic effector,OG0000037
22724,mpi|P23|130017|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_17,-,Y (0.623),-,Apoplastic effector,OG0000037
22993,mpi|P23|2500199|Fgenesh_Torrubiella_hemipterigena|contig_25_gene_199,-,Y (0.587),-,Apoplastic effector,OG0000037
24685,mpi|P24|4500615|Fgenesh_Torrubiella_hemipterigena|contig_45_gene_615,-,Y (0.591),-,Apoplastic effector,OG0000037
27208,mpi|P26|2900170|Fgenesh_Torrubiella_hemipterigena|contig_29_gene_170,-,Y (0.591),-,Apoplastic effector,OG0000037
28579,mpi|P27|3100205|Fgenesh_Torrubiella_hemipterigena|contig_31_gene_205,-,Y (0.591),-,Apoplastic effector,OG0000037
30016,mpi|P28|4100206|Fgenesh_Torrubiella_hemipterigena|contig_41_gene_206,-,Y (0.591),-,Apoplastic effector,OG0000037
31427,mpi|P29|2000206|Fgenesh_Torrubiella_hemipterigena|contig_20_gene_206,-,Y (0.591),-,Apoplastic effector,OG0000037
33346,mpi|P2|900867|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_867,-,Y (0.642),-,Apoplastic effector,OG0000037
34180,mpi|P30|700227|Fgenesh_Torrubiella_hemipterigena|scaffold_7_gene_227,Y (0.702),Y (0.569),-,Cytoplasmic/apoplastic effector,OG0000037
36548,mpi|P31|200277|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_277,-,Y (0.627),-,Apoplastic effector,OG0000037
37649,mpi|P32|300247|Fgenesh_Torrubiella_hemipterigena|contig_3_gene_247,-,Y (0.591),-,Apoplastic effector,OG0000037
38932,mpi|P33|600616|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_616,-,Y (0.591),-,Apoplastic effector,OG0000037
40193,mpi|P340|600991|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_991,-,Y (0.591),-,Apoplastic effector,OG0000037
41291,mpi|P34|1100210|Fgenesh_Torrubiella_hemipterigena|contig_11_gene_210,-,Y (0.591),-,Apoplastic effector,OG0000037
44950,mpi|P36|2300772|Fgenesh_Torrubiella_hemipterigena|contig_23_gene_772,-,Y (0.591),-,Apoplastic effector,OG0000037
45752,mpi|P38|1200600|Fgenesh_Torrubiella_hemipterigena|contig_12_gene_600,-,Y (0.591),-,Apoplastic effector,OG0000037
46604,mpi|P38|4002590|Fgenesh_Torrubiella_hemipterigena|contig_4_gene_2590,Y (0.611),-,-,Cytoplasmic effector,OG0000037
46743,mpi|P39|1100140|Fgenesh_Torrubiella_hemipterigena|contig_11_gene_140,-,Y (0.591),-,Apoplastic effector,OG0000037
48975,mpi|P3|21001063|Fgenesh_Torrubiella_hemipterigena|contig_21_gene_1063,-,Y (0.627),-,Apoplastic effector,OG0000037
50002,mpi|P40|400357|Fgenesh_Torrubiella_hemipterigena|contig_4_gene_357,-,Y (0.609),-,Apoplastic effector,OG0000037
50058,mpi|P40|1500210|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_210,-,Y (0.629),-,Apoplastic effector,OG0000037
51457,mpi|P41|200607|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_607,-,Y (0.591),-,Apoplastic effector,OG0000037
52671,mpi|P421|3500964|Fgenesh_Torrubiella_hemipterigena|contig_35_gene_964,-,Y (0.591),-,Apoplastic effector,OG0000037
53810,mpi|P42|2800387|Fgenesh_Torrubiella_hemipterigena|contig_28_gene_387,-,Y (0.591),-,Apoplastic effector,OG0000037
55427,mpi|P43|400966|Fgenesh_Torrubiella_hemipterigena|contig_4_gene_966,-,Y (0.591),-,Apoplastic effector,OG0000037
56861,mpi|P44|1400201|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_201,-,Y (0.591),-,Apoplastic effector,OG0000037
58204,mpi|P455|700617|Fgenesh_Torrubiella_hemipterigena|contig_7_gene_617,-,Y (0.591),-,Apoplastic effector,OG0000037
59907,mpi|P45|1000608|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_608,-,Y (0.591),-,Apoplastic effector,OG0000037
62035,mpi|P46|4200288|Fgenesh_Torrubiella_hemipterigena|contig_42_gene_288,-,Y (0.642),-,Apoplastic effector,OG0000037
62492,mpi|P47|800597|Fgenesh_Torrubiella_hemipterigena|contig_8_gene_597,-,Y (0.629),-,Apoplastic effector,OG0000037
62545,mpi|P47|1500214|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_214,-,Y (0.609),-,Apoplastic effector,OG0000037
64219,mpi|P48|1100143|Fgenesh_Torrubiella_hemipterigena|contig_11_gene_143,-,Y (0.591),-,Apoplastic effector,OG0000037
65664,mpi|P49|1300215|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_215,-,Y (0.642),-,Apoplastic effector,OG0000037
66100,mpi|P49|1800646|Fgenesh_Torrubiella_hemipterigena|contig_18_gene_646,-,Y (0.595),-,Apoplastic effector,OG0000037
66694,mpi|P4|1500156|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_156,-,Y (0.591),-,Apoplastic effector,OG0000037
68154,mpi|P50|1100401|Fgenesh_Torrubiella_hemipterigena|contig_11_gene_401,-,Y (0.627),-,Apoplastic effector,OG0000037
69596,mpi|P51|200603|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_603,-,Y (0.591),-,Apoplastic effector,OG0000037
70335,mpi|P51|800406|Fgenesh_Torrubiella_hemipterigena|contig_8_gene_406,Y (0.533),-,-,Cytoplasmic effector,OG0000037
70812,mpi|P52|200204|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_204,-,Y (0.591),-,Apoplastic effector,OG0000037
72577,mpi|P54|1000205|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_205,-,Y (0.603),-,Apoplastic effector,OG0000037
73897,mpi|P55|2100212|Fgenesh_Torrubiella_hemipterigena|contig_21_gene_212,-,Y (0.642),-,Apoplastic effector,OG0000037
75263,mpi|P56|1800619|Fgenesh_Torrubiella_hemipterigena|contig_18_gene_619,-,Y (0.603),-,Apoplastic effector,OG0000037
76639,mpi|P57|40085|Fgenesh_Torrubiella_hemipterigena|contig_4_gene_85,-,Y (0.642),-,Apoplastic effector,OG0000037
78583,mpi|P58|200624|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_624,-,Y (0.642),-,Apoplastic effector,OG0000037
79044,mpi|P59|1004|Fgenesh_Torrubiella_hemipterigena|contig_1_gene_4,-,Y (0.603),-,Apoplastic effector,OG0000037
82900,mpi|P60|1500997|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_997,-,Y (0.642),-,Apoplastic effector,OG0000037
83980,mpi|P612|6200661|Fgenesh_Torrubiella_hemipterigena|contig_62_gene_661,-,Y (0.591),-,Apoplastic effector,OG0000037
84539,mpi|P612|4500136|Fgenesh_Torrubiella_hemipterigena|contig_45_gene_136,Y (0.533),-,-,Cytoplasmic effector,OG0000037
85523,mpi|P61|600776|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_776,-,Y (0.591),-,Apoplastic effector,OG0000037
86241,mpi|P62|2200282|Fgenesh_Torrubiella_hemipterigena|contig_22_gene_282,-,Y (0.642),-,Apoplastic effector,OG0000037
88683,mpi|P63|100964|Fgenesh_Torrubiella_hemipterigena|contig_1_gene_964,-,Y (0.591),-,Apoplastic effector,OG0000037
90501,mpi|P65|190022|Fgenesh_Torrubiella_hemipterigena|contig_19_gene_22,-,Y (0.606),-,Apoplastic effector,OG0000037
91657,mpi|P66|800612|Fgenesh_Torrubiella_hemipterigena|contig_8_gene_612,-,Y (0.591),-,Apoplastic effector,OG0000037
92677,mpi|P66|200583|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_583,Y (0.501),-,-,Cytoplasmic effector,OG0000037
93211,mpi|P67|700211|Fgenesh_Torrubiella_hemipterigena|contig_7_gene_211,-,Y (0.603),-,Apoplastic effector,OG0000037
94901,mpi|P68|4200314|Fgenesh_Torrubiella_hemipterigena|contig_42_gene_314,-,Y (0.591),-,Apoplastic effector,OG0000037
96325,mpi|P6|2600274|Fgenesh_Torrubiella_hemipterigena|contig_26_gene_274,-,Y (0.547),-,Apoplastic effector,OG0000037
97164,mpi|P7|400063|Fgenesh_Torrubiella_hemipterigena|contig_40_gene_63,-,Y (0.642),-,Apoplastic effector,OG0000037
98991,mpi|P8|1600619|Fgenesh_Torrubiella_hemipterigena|contig_16_gene_619,-,Y (0.642),-,Apoplastic effector,OG0000037
100458,mpi|P9|1200212|Fgenesh_Torrubiella_hemipterigena|contig_12_gene_212,-,Y (0.606),-,Apoplastic effector,OG0000037
86,mpi|P10|1300291|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_291,Y (0.541),Y (0.859),-,Apoplastic/cytoplasmic effector,OG0000045
412,mpi|P10|1400254|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_254,-,Y (0.605),-,Apoplastic effector,OG0000045
2096,jgi|P117|245158|gm1.6848_g,Y (0.557),Y (0.889),-,Apoplastic/cytoplasmic effector,OG0000045
2517,jgi|P117|276007|MIX2504_2_55,Y (0.822),-,-,Cytoplasmic effector,OG0000045
2911,mpi|P11|190020|Fgenesh_Torrubiella_hemipterigena|contig_19_gene_20,-,Y (0.55),-,Apoplastic effector,OG0000045
2981,mpi|P11|250060|Fgenesh_Torrubiella_hemipterigena|contig_25_gene_60,Y (0.577),Y (0.826),-,Apoplastic/cytoplasmic effector,OG0000045
4404,mpi|P12|130050|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_50,Y (0.577),Y (0.826),-,Apoplastic/cytoplasmic effector,OG0000045
4509,mpi|P12|2200249|Fgenesh_Torrubiella_hemipterigena|contig_22_gene_249,-,Y (0.605),-,Apoplastic effector,OG0000045
6006,mpi|P13|600286|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_286,Y (0.577),Y (0.826),-,Apoplastic/cytoplasmic effector,OG0000045
6858,mpi|P13|3800251|Fgenesh_Torrubiella_hemipterigena|contig_38_gene_251,-,Y (0.605),-,Apoplastic effector,OG0000045
7208,mpi|P143|200759|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_759,Y (0.519),Y (0.832),-,Apoplastic/cytoplasmic effector,OG0000045
8426,mpi|P143|20003048|Fgenesh_Torrubiella_hemipterigena|contig_20_gene_3048,-,Y (0.725),-,Apoplastic effector,OG0000045
8804,mpi|P14|1600179|Fgenesh_Torrubiella_hemipterigena|contig_16_gene_179,-,Y (0.537),-,Apoplastic effector,OG0000045
9668,mpi|P14|1500235|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_235,-,Y (0.725),-,Apoplastic effector,OG0000045
10633,mpi|P15|1600645|Fgenesh_Torrubiella_hemipterigena|contig_16_gene_645,Y (0.503),Y (0.653),-,Apoplastic/cytoplasmic effector,OG0000045
11271,mpi|P15|19002173|Fgenesh_Torrubiella_hemipterigena|contig_19_gene_2173,-,Y (0.725),-,Apoplastic effector,OG0000045
11907,jgi|P16|302209|fgenesh1_pg.6_#_690,Y (0.503),Y (0.653),-,Apoplastic/cytoplasmic effector,OG0000045
12935,mpi|P17|6700184|Fgenesh_Torrubiella_hemipterigena|contig_67_gene_184,Y (0.619),Y (0.765),-,Apoplastic/cytoplasmic effector,OG0000045
13225,mpi|P17|8400179|Fgenesh_Torrubiella_hemipterigena|contig_84_gene_179,Y (0.503),Y (0.653),-,Apoplastic/cytoplasmic effector,OG0000045
14537,mpi|P18|21000270|Fgenesh_Torrubiella_hemipterigena|contig_210_gene_270,-,Y (0.725),-,Apoplastic effector,OG0000045
14747,mpi|P18|7200220|Fgenesh_Torrubiella_hemipterigena|contig_72_gene_220,-,Y (0.616),-,Apoplastic effector,OG0000045
15615,mpi|P19|240028|Fgenesh_Torrubiella_hemipterigena|contig_24_gene_28,-,Y (0.616),-,Apoplastic effector,OG0000045
16206,mpi|P19|2600128|Fgenesh_Torrubiella_hemipterigena|contig_26_gene_128,-,Y (0.725),-,Apoplastic effector,OG0000045
17248,mpi|P1|900683|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_683,-,Y (0.568),-,Apoplastic effector,OG0000045
17997,mpi|P1|600290|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_290,Y (0.577),Y (0.826),-,Apoplastic/cytoplasmic effector,OG0000045
18815,mpi|P20|1400206|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_206,Y (0.5),Y (0.554),-,Apoplastic/cytoplasmic effector,OG0000045
19367,mpi|P20|1600299|Fgenesh_Torrubiella_hemipterigena|contig_16_gene_299,Y (0.529),Y (0.831),-,Apoplastic/cytoplasmic effector,OG0000045
20338,mpi|P21|200665|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_665,-,Y (0.55),-,Apoplastic effector,OG0000045
20628,mpi|P21|2100890|Fgenesh_Torrubiella_hemipterigena|contig_21_gene_890,Y (0.58),Y (0.827),-,Apoplastic/cytoplasmic effector,OG0000045
21604,mpi|P22|400309|Fgenesh_Torrubiella_hemipterigena|contig_4_gene_309,-,Y (0.829),-,Apoplastic effector,OG0000045
22087,mpi|P22|300274|Fgenesh_Torrubiella_hemipterigena|contig_3_gene_274,-,Y (0.56),-,Apoplastic effector,OG0000045
23130,mpi|P23|270073|Fgenesh_Torrubiella_hemipterigena|contig_27_gene_73,-,Y (0.64),-,Apoplastic effector,OG0000045
23303,mpi|P23|2400327|Fgenesh_Torrubiella_hemipterigena|contig_24_gene_327,Y (0.549),Y (0.829),-,Apoplastic/cytoplasmic effector,OG0000045
24283,mpi|P24|3500461|Fgenesh_Torrubiella_hemipterigena|contig_35_gene_461,Y (0.519),Y (0.832),-,Apoplastic/cytoplasmic effector,OG0000045
25072,mpi|P24|200396|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_396,Y (0.619),Y (0.765),-,Apoplastic/cytoplasmic effector,OG0000045
25518,mpi|P25|700178|Fgenesh_Torrubiella_hemipterigena|contig_7_gene_178,Y (0.503),Y (0.653),-,Apoplastic/cytoplasmic effector,OG0000045
25724,mpi|P25|6500299|Fgenesh_Torrubiella_hemipterigena|contig_65_gene_299,Y (0.551),Y (0.827),-,Apoplastic/cytoplasmic effector,OG0000045
26912,mpi|P26|280019|Fgenesh_Torrubiella_hemipterigena|contig_28_gene_19,Y (0.503),Y (0.653),-,Apoplastic/cytoplasmic effector,OG0000045
27982,mpi|P26|900293|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_293,Y (0.619),Y (0.765),-,Apoplastic/cytoplasmic effector,OG0000045
28763,mpi|P27|3000237|Fgenesh_Torrubiella_hemipterigena|contig_30_gene_237,-,Y (0.725),-,Apoplastic effector,OG0000045
29501,mpi|P27|500767|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_767,Y (0.503),Y (0.653),-,Apoplastic/cytoplasmic effector,OG0000045
29957,mpi|P28|40081|Fgenesh_Torrubiella_hemipterigena|contig_4_gene_81,Y (0.503),Y (0.653),-,Apoplastic/cytoplasmic effector,OG0000045
30132,mpi|P28|3500288|Fgenesh_Torrubiella_hemipterigena|contig_35_gene_288,Y (0.619),Y (0.765),-,Apoplastic/cytoplasmic effector,OG0000045
31961,mpi|P29|1700758|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_758,Y (0.503),Y (0.653),-,Apoplastic/cytoplasmic effector,OG0000045
32474,mpi|P29|45002904|Fgenesh_Torrubiella_hemipterigena|contig_45_gene_2904,-,Y (0.725),-,Apoplastic effector,OG0000045
32715,mpi|P2|300293|Fgenesh_Torrubiella_hemipterigena|contig_3_gene_293,-,Y (0.53),-,Apoplastic effector,OG0000045
32848,mpi|P2|1300824|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_824,Y (0.529),Y (0.831),-,Apoplastic/cytoplasmic effector,OG0000045
34712,mpi|P30|300268|Fgenesh_Torrubiella_hemipterigena|scaffold_3_gene_268,Y (0.804),-,-,Cytoplasmic effector,OG0000045
35606,mpi|P31|2200249|Fgenesh_Torrubiella_hemipterigena|contig_22_gene_249,-,Y (0.55),-,Apoplastic effector,OG0000045
35890,mpi|P31|50034|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_34,Y (0.541),Y (0.861),-,Apoplastic/cytoplasmic effector,OG0000045
36905,mpi|P32|2200108|Fgenesh_Torrubiella_hemipterigena|contig_22_gene_108,Y (0.551),Y (0.827),-,Apoplastic/cytoplasmic effector,OG0000045
37073,mpi|P32|360035|Fgenesh_Torrubiella_hemipterigena|contig_36_gene_35,-,Y (0.633),-,Apoplastic effector,OG0000045
38401,mpi|P33|2600172|Fgenesh_Torrubiella_hemipterigena|contig_26_gene_172,-,Y (0.633),-,Apoplastic effector,OG0000045
39295,mpi|P33|200299|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_299,Y (0.551),Y (0.827),-,Apoplastic/cytoplasmic effector,OG0000045
39631,mpi|P340|1300183|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_183,-,Y (0.537),-,Apoplastic effector,OG0000045
40564,mpi|P340|1500291|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_291,Y (0.551),Y (0.827),-,Apoplastic/cytoplasmic effector,OG0000045
41498,mpi|P34|1900759|Fgenesh_Torrubiella_hemipterigena|contig_19_gene_759,-,Y (0.609),-,Apoplastic effector,OG0000045
41972,mpi|P34|1300292|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_292,Y (0.551),Y (0.827),-,Apoplastic/cytoplasmic effector,OG0000045
42665,mpi|P35|1400203|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_203,Y (0.551),Y (0.827),-,Apoplastic/cytoplasmic effector,OG0000045
42742,mpi|P35|1600316|Fgenesh_Torrubiella_hemipterigena|contig_16_gene_316,-,Y (0.609),-,Apoplastic effector,OG0000045
43875,mpi|P36|2400172|Fgenesh_Torrubiella_hemipterigena|contig_24_gene_172,-,Y (0.716),-,Apoplastic effector,OG0000045
44718,mpi|P36|3100296|Fgenesh_Torrubiella_hemipterigena|contig_31_gene_296,Y (0.619),Y (0.765),-,Apoplastic/cytoplasmic effector,OG0000045
45361,mpi|P38|1500185|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_185,Y (0.503),Y (0.653),-,Apoplastic/cytoplasmic effector,OG0000045
46302,mpi|P38|400293|Fgenesh_Torrubiella_hemipterigena|contig_4_gene_293,-,Y (0.81),-,Apoplastic effector,OG0000045
47130,mpi|P39|2800239|Fgenesh_Torrubiella_hemipterigena|contig_28_gene_239,-,Y (0.725),-,Apoplastic effector,OG0000045
47438,mpi|P39|320069|Fgenesh_Torrubiella_hemipterigena|contig_32_gene_69,Y (0.519),Y (0.832),-,Apoplastic/cytoplasmic effector,OG0000045
48514,mpi|P3|1100678|Fgenesh_Torrubiella_hemipterigena|contig_11_gene_678,-,Y (0.597),-,Apoplastic effector,OG0000045
49100,mpi|P3|1000285|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_285,Y (0.577),Y (0.826),-,Apoplastic/cytoplasmic effector,OG0000045
49839,mpi|P40|800367|Fgenesh_Torrubiella_hemipterigena|contig_8_gene_367,-,Y (0.657),-,Apoplastic effector,OG0000045
49915,mpi|P40|2800399|Fgenesh_Torrubiella_hemipterigena|contig_28_gene_399,Y (0.576),Y (0.825),-,Apoplastic/cytoplasmic effector,OG0000045
51717,mpi|P41|1400176|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_176,-,Y (0.609),-,Apoplastic effector,OG0000045
52180,mpi|P41|17001369|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_1369,Y (0.619),Y (0.765),-,Apoplastic/cytoplasmic effector,OG0000045
52351,mpi|P421|100174|Fgenesh_Torrubiella_hemipterigena|contig_1_gene_174,-,Y (0.616),-,Apoplastic effector,OG0000045
53212,mpi|P421|3400296|Fgenesh_Torrubiella_hemipterigena|contig_34_gene_296,-,Y (0.725),-,Apoplastic effector,OG0000045
54003,mpi|P42|140017|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_17,-,Y (0.633),-,Apoplastic effector,OG0000045
54751,mpi|P42|1700284|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_284,-,Y (0.622),-,Apoplastic effector,OG0000045
55157,mpi|P43|200753|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_753,-,Y (0.616),-,Apoplastic effector,OG0000045
56416,mpi|P43|30003057|Fgenesh_Torrubiella_hemipterigena|contig_30_gene_3057,-,Y (0.725),-,Apoplastic effector,OG0000045
56509,mpi|P44|200175|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_175,-,Y (0.609),-,Apoplastic effector,OG0000045
57632,mpi|P44|8001374|Fgenesh_Torrubiella_hemipterigena|contig_8_gene_1374,-,Y (0.654),-,Apoplastic effector,OG0000045
57893,mpi|P455|600178|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_178,-,Y (0.716),-,Apoplastic effector,OG0000045
58825,mpi|P455|500292|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_292,-,Y (0.66),-,Apoplastic effector,OG0000045
59267,mpi|P45|130082|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_82,-,Y (0.609),-,Apoplastic effector,OG0000045
59605,mpi|P45|700209|Fgenesh_Torrubiella_hemipterigena|contig_7_gene_209,-,Y (0.654),-,Apoplastic effector,OG0000045
61352,mpi|P46|2600282|Fgenesh_Torrubiella_hemipterigena|contig_26_gene_282,Y (0.5),Y (0.554),-,Apoplastic/cytoplasmic effector,OG0000045
61514,mpi|P46|1000300|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_300,Y (0.529),Y (0.831),-,Apoplastic/cytoplasmic effector,OG0000045
62135,mpi|P47|100158|Fgenesh_Torrubiella_hemipterigena|contig_1_gene_158,-,Y (0.657),-,Apoplastic effector,OG0000045
62353,mpi|P47|600282|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_282,Y (0.571),Y (0.824),-,Apoplastic/cytoplasmic effector,OG0000045
63706,mpi|P48|800350|Fgenesh_Torrubiella_hemipterigena|contig_8_gene_350,-,Y (0.609),-,Apoplastic effector,OG0000045
64467,mpi|P48|1200236|Fgenesh_Torrubiella_hemipterigena|contig_12_gene_236,-,Y (0.725),-,Apoplastic effector,OG0000045
65126,mpi|P49|1200284|Fgenesh_Torrubiella_hemipterigena|contig_12_gene_284,Y (0.544),Y (0.831),-,Apoplastic/cytoplasmic effector,OG0000045
65197,mpi|P49|50034|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_34,-,Y (0.655),-,Apoplastic effector,OG0000045
66814,mpi|P4|1600102|Fgenesh_Torrubiella_hemipterigena|contig_16_gene_102,Y (0.503),Y (0.653),-,Apoplastic/cytoplasmic effector,OG0000045
67347,mpi|P4|100292|Fgenesh_Torrubiella_hemipterigena|contig_1_gene_292,Y (0.551),Y (0.827),-,Apoplastic/cytoplasmic effector,OG0000045
68293,mpi|P50|2100254|Fgenesh_Torrubiella_hemipterigena|contig_21_gene_254,-,Y (0.605),-,Apoplastic effector,OG0000045
68766,mpi|P50|19001186|Fgenesh_Torrubiella_hemipterigena|contig_19_gene_1186,Y (0.577),Y (0.826),-,Apoplastic/cytoplasmic effector,OG0000045
69663,mpi|P51|1700485|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_485,Y (0.551),Y (0.827),-,Apoplastic/cytoplasmic effector,OG0000045
69855,mpi|P51|1300169|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_169,-,Y (0.633),-,Apoplastic effector,OG0000045
71080,mpi|P52|1000292|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_292,-,Y (0.725),-,Apoplastic effector,OG0000045
71354,mpi|P52|1500605|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_605,Y (0.503),Y (0.653),-,Apoplastic/cytoplasmic effector,OG0000045
72492,mpi|P54|3000131|Fgenesh_Torrubiella_hemipterigena|contig_30_gene_131,Y (0.58),Y (0.827),-,Apoplastic/cytoplasmic effector,OG0000045
72799,mpi|P54|600258|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_258,-,Y (0.55),-,Apoplastic effector,OG0000045
73706,mpi|P55|200500|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_500,Y (0.577),Y (0.826),-,Apoplastic/cytoplasmic effector,OG0000045
74249,mpi|P55|400683|Fgenesh_Torrubiella_hemipterigena|contig_4_gene_683,-,Y (0.55),-,Apoplastic effector,OG0000045
75433,mpi|P56|2400258|Fgenesh_Torrubiella_hemipterigena|contig_24_gene_258,-,Y (0.55),-,Apoplastic effector,OG0000045
75746,mpi|P56|1600131|Fgenesh_Torrubiella_hemipterigena|contig_16_gene_131,Y (0.58),Y (0.827),-,Apoplastic/cytoplasmic effector,OG0000045
76436,mpi|P57|1500285|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_285,Y (0.541),Y (0.861),-,Apoplastic/cytoplasmic effector,OG0000045
76564,mpi|P57|300273|Fgenesh_Torrubiella_hemipterigena|contig_3_gene_273,-,Y (0.55),-,Apoplastic effector,OG0000045
77864,mpi|P58|1400503|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_503,Y (0.571),Y (0.826),-,Apoplastic/cytoplasmic effector,OG0000045
78126,mpi|P58|1100270|Fgenesh_Torrubiella_hemipterigena|contig_11_gene_270,-,Y (0.55),-,Apoplastic effector,OG0000045
79430,mpi|P59|2300690|Fgenesh_Torrubiella_hemipterigena|contig_23_gene_690,-,Y (0.55),-,Apoplastic effector,OG0000045
80427,mpi|P59|28002814|Fgenesh_Torrubiella_hemipterigena|contig_28_gene_2814,Y (0.541),Y (0.861),-,Apoplastic/cytoplasmic effector,OG0000045
80932,mpi|P5|500179|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_179,-,Y (0.537),-,Apoplastic effector,OG0000045
81417,mpi|P5|2300575|Fgenesh_Torrubiella_hemipterigena|contig_23_gene_575,Y (0.551),Y (0.827),-,Apoplastic/cytoplasmic effector,OG0000045
82416,mpi|P60|3900293|Fgenesh_Torrubiella_hemipterigena|contig_39_gene_293,Y (0.58),Y (0.827),-,Apoplastic/cytoplasmic effector,OG0000045
82658,mpi|P60|800681|Fgenesh_Torrubiella_hemipterigena|contig_8_gene_681,-,Y (0.55),-,Apoplastic effector,OG0000045
